instant,Date,Season,Year,Month,Holiday,Weekday,Workingday,Weather,Temp,Atemp,Humidity,Windspeed,Casual,Registered,Total Rented,NormTemp,NormAtemp,NormHum,NormWindspeed
19,19/01/11,Spring,2011,1,0,Wednesday,1,Mist/Cloudy,11.979134,14.9211,74.1739,13.957239,78,1572,1650,0.292174,0.298422,0.741739,0.208317
20,20/01/11,Spring,2011,1,0,Thursday,1,Mist/Cloudy,10.728347,12.7525,53.8333,13.125568,83,1844,1927,0.261667,0.25505,0.538333,0.195904
21,21/01/11,Spring,2011,1,0,Friday,1,Clear/Partly Cloudy,7.2775,7.89165,45.7083,23.667214,75,1468,1543,0.1775,0.157833,0.457083,0.353242
22,22/01/11,Spring,2011,1,0,Saturday,0,Clear/Partly Cloudy,2.4243464,3.95348,40,11.52199,93,888,981,0.0591304,0.0790696,0.4,0.17197
23,23/01/11,Spring,2011,1,0,Sunday,0,Clear/Partly Cloudy,3.9573897,4.941955,43.6522,16.5222,150,836,986,0.0965217,0.0988391,0.436522,0.2466
24,24/01/11,Spring,2011,1,0,Monday,1,Clear/Partly Cloudy,3.9930433,5.8965,49.1739,10.60811,86,1330,1416,0.0973913,0.11793,0.491739,0.15833
25,25/01/11,Spring,2011,1,0,Tuesday,1,Mist/Cloudy,9.162598,11.7263,61.6957,8.696332,186,1799,1985,0.223478,0.234526,0.616957,0.129796
26,26/01/11,Spring,2011,1,0,Wednesday,1,Light Snow/Rain,8.9175,10.18,86.25,19.68795,34,472,506,0.2175,0.2036,0.8625,0.29385
27,27/01/11,Spring,2011,1,0,Thursday,1,Clear/Partly Cloudy,7.995,10.985,68.75,7.627079,15,416,431,0.195,0.2197,0.6875,0.113837
28,28/01/11,Spring,2011,1,0,Friday,1,Mist/Cloudy,8.342598,11.16585,79.3043,8.2611,38,1129,1167,0.203478,0.223317,0.793043,0.1233
29,29/01/11,Spring,2011,1,0,Saturday,0,Clear/Partly Cloudy,8.057402,10.6063,65.1739,9.739455,123,975,1098,0.196522,0.212126,0.651739,0.145365
30,30/01/11,Spring,2011,1,0,Sunday,0,Clear/Partly Cloudy,8.877402,12.5161,72.2174,4.9568342,140,956,1096,0.216522,0.250322,0.722174,0.0739826
31,31/01/11,Spring,2011,1,0,Monday,1,Mist/Cloudy,7.414153,9.3125,60.375,12.541864,42,1459,1501,0.180833,0.18625,0.60375,0.187192
32,01/02/11,Spring,2011,2,0,Tuesday,1,Mist/Cloudy,7.879134,11.7265,82.9565,3.565271,47,1313,1360,0.192174,0.23453,0.829565,0.053213
33,02/02/11,Spring,2011,2,0,Wednesday,1,Mist/Cloudy,10.66,12.72085,77.5417,17.708636,72,1454,1526,0.26,0.254417,0.775417,0.264308
34,03/02/11,Spring,2011,2,0,Thursday,1,Clear/Partly Cloudy,7.665237,8.8939,43.7826,18.609384,61,1489,1550,0.186957,0.177878,0.437826,0.277752
35,04/02/11,Spring,2011,2,0,Friday,1,Mist/Cloudy,8.663464,11.42935,58.5217,8.565213,88,1620,1708,0.211304,0.228587,0.585217,0.127839
36,05/02/11,Spring,2011,2,0,Saturday,0,Mist/Cloudy,9.566653,12.1529,92.9167,10.792293,100,905,1005,0.233333,0.243058,0.929167,0.161079
37,06/02/11,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,11.719153,14.58355,56.8333,9.5006,354,1269,1623,0.285833,0.291671,0.568333,0.1418
38,07/02/11,Spring,2011,2,0,Monday,1,Clear/Partly Cloudy,11.138347,15.1829,73.8333,3.0423561,120,1592,1712,0.271667,0.303658,0.738333,0.0454083
39,08/02/11,Spring,2011,2,0,Tuesday,1,Clear/Partly Cloudy,9.054153,9.9123,53.7917,24.25065,64,1466,1530,0.220833,0.198246,0.537917,0.36195
40,09/02/11,Spring,2011,2,0,Wednesday,1,Mist/Cloudy,5.526103,7.21415,49.4783,12.652213,53,1552,1605,0.134783,0.144283,0.494783,0.188839
41,10/02/11,Spring,2011,2,0,Thursday,1,Clear/Partly Cloudy,5.918268,7.4774,43.7391,14.869645,47,1491,1538,0.144348,0.149548,0.437391,0.221935
42,11/02/11,Spring,2011,2,0,Friday,1,Clear/Partly Cloudy,7.752731,10.67545,50.6364,7.27285,149,1597,1746,0.189091,0.213509,0.506364,0.10855
43,12/02/11,Spring,2011,2,0,Saturday,0,Clear/Partly Cloudy,9.1225,11.6477,54.4167,13.625589,288,1184,1472,0.2225,0.232954,0.544167,0.203367
44,13/02/11,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,12.977402,16.20565,45.7391,17.479161,397,1192,1589,0.316522,0.324113,0.457391,0.260883
45,14/02/11,Spring,2011,2,0,Monday,1,Clear/Partly Cloudy,17.015,19.9175,37.5833,27.999836,208,1705,1913,0.415,0.39835,0.375833,0.417908
46,15/02/11,Spring,2011,2,0,Tuesday,1,Clear/Partly Cloudy,10.909567,12.7137,31.4348,19.522058,140,1675,1815,0.266087,0.254274,0.314348,0.291374
47,16/02/11,Spring,2011,2,0,Wednesday,1,Clear/Partly Cloudy,13.048701,15.81,42.3478,16.869997,218,1897,2115,0.318261,0.3162,0.423478,0.251791
48,17/02/11,Spring,2011,2,0,Thursday,1,Clear/Partly Cloudy,17.869153,21.4329,50.5,15.416968,259,2216,2475,0.435833,0.428658,0.505,0.230104
49,18/02/11,Spring,2011,2,0,Friday,1,Clear/Partly Cloudy,21.388347,25.59915,51.6667,17.749975,579,2348,2927,0.521667,0.511983,0.516667,0.264925
50,19/02/11,Spring,2011,2,0,Saturday,0,Clear/Partly Cloudy,16.365847,19.5702,18.7917,34.000021,532,1103,1635,0.399167,0.391404,0.187917,0.507463
51,20/02/11,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,11.693897,13.8665,40.7826,14.956745,639,1173,1812,0.285217,0.27733,0.407826,0.223235
52,21/02/11,Spring,2011,2,1,Monday,0,Mist/Cloudy,12.436653,14.20375,60.5,20.625682,195,912,1107,0.303333,0.284075,0.605,0.307846
53,22/02/11,Spring,2011,2,0,Tuesday,1,Clear/Partly Cloudy,7.471102,9.30165,57.7778,13.110761,74,1376,1450,0.182222,0.186033,0.577778,0.195683
54,23/02/11,Spring,2011,2,0,Wednesday,1,Clear/Partly Cloudy,9.091299,12.28585,42.3043,6.305571,139,1778,1917,0.221739,0.245717,0.423043,0.094113
55,24/02/11,Spring,2011,2,0,Thursday,1,Mist/Cloudy,12.121732,14.45955,69.7391,16.783232,100,1707,1807,0.295652,0.289191,0.697391,0.250496
56,25/02/11,Spring,2011,2,0,Friday,1,Mist/Cloudy,14.938268,17.52305,71.2174,23.218113,120,1341,1461,0.364348,0.350461,0.712174,0.346539
57,26/02/11,Spring,2011,2,0,Saturday,0,Clear/Partly Cloudy,11.5825,14.1096,53.7917,12.500257,424,1545,1969,0.2825,0.282192,0.537917,0.186571
58,27/02/11,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,14.082598,17.55545,68,8.391616,694,1708,2402,0.343478,0.351109,0.68,0.125248
59,28/02/11,Spring,2011,2,0,Monday,1,Mist/Cloudy,16.698193,20.0059,87.6364,19.408962,81,1365,1446,0.407273,0.400118,0.876364,0.289686
60,01/03/11,Spring,2011,3,0,Tuesday,1,Clear/Partly Cloudy,10.933347,13.19395,53.5,14.500475,137,1714,1851,0.266667,0.263879,0.535,0.216425
61,02/03/11,Spring,2011,3,0,Wednesday,1,Clear/Partly Cloudy,13.735,16.00355,44.9583,20.624811,231,1903,2134,0.335,0.320071,0.449583,0.307833
62,03/03/11,Spring,2011,3,0,Thursday,1,Clear/Partly Cloudy,8.131653,10.00665,31.8333,15.125518,123,1562,1685,0.198333,0.200133,0.318333,0.225754
63,04/03/11,Spring,2011,3,0,Friday,1,Mist/Cloudy,10.728347,12.78395,61.0417,13.624182,214,1730,1944,0.261667,0.255679,0.610417,0.203346
64,05/03/11,Spring,2011,3,0,Saturday,0,Mist/Cloudy,15.750847,18.93895,78.9167,16.875357,640,1437,2077,0.384167,0.378779,0.789167,0.251871
65,06/03/11,Spring,2011,3,0,Sunday,0,Mist/Cloudy,15.437402,18.3126,94.8261,23.000229,114,491,605,0.376522,0.366252,0.948261,0.343287
66,07/03/11,Spring,2011,3,0,Monday,1,Clear/Partly Cloudy,10.731299,11.92305,55.1304,22.870584,244,1628,1872,0.261739,0.238461,0.551304,0.341352
67,08/03/11,Spring,2011,3,0,Tuesday,1,Clear/Partly Cloudy,11.9925,15.12,42.0833,8.08355,316,1817,2133,0.2925,0.3024,0.420833,0.12065
68,09/03/11,Spring,2011,3,0,Wednesday,1,Mist/Cloudy,12.129153,14.3304,77.5417,14.75005,191,1700,1891,0.295833,0.286608,0.775417,0.22015
69,10/03/11,Spring,2011,3,0,Thursday,1,Light Snow/Rain,15.952731,19.2834,0,17.545759,46,577,623,0.389091,0.385668,0,0.261877
70,11/03/11,Spring,2011,3,0,Friday,1,Mist/Cloudy,12.977402,15.25,64.9565,15.60899,247,1730,1977,0.316522,0.305,0.649565,0.23297
71,12/03/11,Spring,2011,3,0,Saturday,0,Clear/Partly Cloudy,13.495847,16.2875,59.4583,14.791925,724,1408,2132,0.329167,0.32575,0.594583,0.220775
72,13/03/11,Spring,2011,3,0,Sunday,0,Clear/Partly Cloudy,15.758268,19.00455,52.7391,18.130468,982,1435,2417,0.384348,0.380091,0.527391,0.270604
73,14/03/11,Spring,2011,3,0,Monday,1,Clear/Partly Cloudy,13.333897,16.6,49.6957,9.174042,359,1687,2046,0.325217,0.332,0.496957,0.136926
74,15/03/11,Spring,2011,3,0,Tuesday,1,Mist/Cloudy,13.013031,15.9089,65.5652,12.348703,289,1767,2056,0.317391,0.318178,0.655652,0.184309
75,16/03/11,Spring,2011,3,0,Wednesday,1,Mist/Cloudy,14.973897,18.3465,77.6522,13.608839,321,1871,2192,0.365217,0.36693,0.776522,0.203117
76,17/03/11,Spring,2011,3,0,Thursday,1,Clear/Partly Cloudy,17.015,20.51665,60.2917,14.041793,424,2320,2744,0.415,0.410333,0.602917,0.209579
77,18/03/11,Spring,2011,3,0,Friday,1,Clear/Partly Cloudy,22.14,26.35045,52.5217,15.478139,884,2355,3239,0.54,0.527009,0.525217,0.231017
78,19/03/11,Spring,2011,3,0,Saturday,0,Clear/Partly Cloudy,19.3725,23.32625,37.9167,24.667189,1424,1693,3117,0.4725,0.466525,0.379167,0.368167
79,20/03/11,Spring,2011,3,0,Sunday,0,Clear/Partly Cloudy,13.6325,16.2875,47.375,13.917307,1047,1424,2471,0.3325,0.32575,0.47375,0.207721
80,21/03/11,Summer,2011,3,0,Monday,1,Mist/Cloudy,17.647835,20.48675,73.7391,19.348461,401,1676,2077,0.430435,0.409735,0.737391,0.288783
81,22/03/11,Summer,2011,3,0,Tuesday,1,Clear/Partly Cloudy,18.108347,22.0321,62.4583,15.12525,460,2243,2703,0.441667,0.440642,0.624583,0.22575
82,23/03/11,Summer,2011,3,0,Wednesday,1,Mist/Cloudy,14.225237,16.89695,83.9565,15.695487,203,1918,2121,0.346957,0.337939,0.839565,0.234261
83,24/03/11,Summer,2011,3,0,Thursday,1,Mist/Cloudy,11.685,13.54165,80.5833,16.333729,166,1699,1865,0.285,0.270833,0.805833,0.243787
84,25/03/11,Summer,2011,3,0,Friday,1,Clear/Partly Cloudy,10.830847,12.8156,49.5,15.458575,300,1910,2210,0.264167,0.256312,0.495,0.230725
85,26/03/11,Summer,2011,3,0,Saturday,0,Clear/Partly Cloudy,10.899153,12.87855,39.4167,14.041257,981,1515,2496,0.265833,0.257571,0.394167,0.209571
86,27/03/11,Summer,2011,3,0,Sunday,0,Mist/Cloudy,10.374763,12.51695,49.3913,12.3481,472,1221,1693,0.253043,0.250339,0.493913,0.1843
87,28/03/11,Summer,2011,3,0,Monday,1,Clear/Partly Cloudy,10.838268,12.8787,30.2174,14.217668,222,1806,2028,0.264348,0.257574,0.302174,0.212204
88,29/03/11,Summer,2011,3,0,Tuesday,1,Clear/Partly Cloudy,12.4025,14.6454,31.4167,15.208732,317,2108,2425,0.3025,0.292908,0.314167,0.226996
89,30/03/11,Summer,2011,3,0,Wednesday,1,Mist/Cloudy,12.3,14.8675,64.6667,11.583496,168,1368,1536,0.3,0.29735,0.646667,0.172888
90,31/03/11,Summer,2011,3,0,Thursday,1,Light Snow/Rain,11.001653,12.87875,91.8333,14.582282,179,1506,1685,0.268333,0.257575,0.918333,0.217646
91,01/04/11,Summer,2011,4,0,Friday,1,Mist/Cloudy,12.3,14.1727,68.625,17.333436,307,1920,2227,0.3,0.283454,0.68625,0.258708
92,02/04/11,Summer,2011,4,0,Saturday,0,Mist/Cloudy,12.915,15.78185,65.375,13.208782,898,1354,2252,0.315,0.315637,0.65375,0.197146
93,03/04/11,Summer,2011,4,0,Sunday,0,Clear/Partly Cloudy,15.511653,18.93835,48,12.208271,1651,1598,3249,0.378333,0.378767,0.48,0.182213
94,04/04/11,Summer,2011,4,0,Monday,1,Clear/Partly Cloudy,23.506653,27.14645,42.625,25.833257,734,2381,3115,0.573333,0.542929,0.42625,0.385571
95,05/04/11,Summer,2011,4,0,Tuesday,1,Mist/Cloudy,16.980847,19.9175,64.2083,26.000489,167,1628,1795,0.414167,0.39835,0.642083,0.388067
96,06/04/11,Summer,2011,4,0,Wednesday,1,Clear/Partly Cloudy,16.024153,19.3804,47.0833,17.625221,413,2395,2808,0.390833,0.387608,0.470833,0.263063
97,07/04/11,Summer,2011,4,0,Thursday,1,Clear/Partly Cloudy,17.9375,21.6848,60.2917,10.874904,571,2570,3141,0.4375,0.433696,0.602917,0.162312
98,08/04/11,Summer,2011,4,0,Friday,1,Mist/Cloudy,13.769153,16.22395,83.625,15.208464,172,1299,1471,0.335833,0.324479,0.83625,0.226992
99,09/04/11,Summer,2011,4,0,Saturday,0,Mist/Cloudy,14.0425,17.07645,87.75,8.916561,879,1576,2455,0.3425,0.341529,0.8775,0.133083
100,10/04/11,Summer,2011,4,0,Sunday,0,Mist/Cloudy,17.493347,21.33685,85.75,9.833389,1188,1707,2895,0.426667,0.426737,0.8575,0.146767
101,11/04/11,Summer,2011,4,0,Monday,1,Mist/Cloudy,24.421732,28.26085,71.6956,21.739758,855,2493,3348,0.595652,0.565217,0.716956,0.324474
102,12/04/11,Summer,2011,4,0,Tuesday,1,Mist/Cloudy,20.6025,24.6527,73.9167,18.416893,257,1777,2034,0.5025,0.493054,0.739167,0.274879
103,13/04/11,Summer,2011,4,0,Wednesday,1,Mist/Cloudy,16.9125,20.86415,81.9167,16.791339,209,1953,2162,0.4125,0.417283,0.819167,0.250617
104,14/04/11,Summer,2011,4,0,Thursday,1,Clear/Partly Cloudy,19.1675,23.1371,54.0417,7.4169,529,2738,3267,0.4675,0.462742,0.540417,0.1107
105,15/04/11,Summer,2011,4,1,Friday,0,Clear/Partly Cloudy,18.313347,22.09565,67.125,15.167125,642,2484,3126,0.446667,0.441913,0.67125,0.226375
106,16/04/11,Summer,2011,4,0,Saturday,0,Light Snow/Rain,17.664153,21.2746,88.8333,22.834136,121,674,795,0.430833,0.425492,0.888333,0.340808
107,17/04/11,Summer,2011,4,0,Sunday,0,Clear/Partly Cloudy,18.723347,22.2848,47.9583,20.334232,1558,2186,3744,0.456667,0.445696,0.479583,0.303496
108,18/04/11,Summer,2011,4,0,Monday,1,Clear/Partly Cloudy,21.0125,25.1573,54.25,10.958989,669,2760,3429,0.5125,0.503146,0.5425,0.163567
109,19/04/11,Summer,2011,4,0,Tuesday,1,Mist/Cloudy,20.739153,24.4629,66.5833,10.584057,409,2795,3204,0.505833,0.489258,0.665833,0.157971
110,20/04/11,Summer,2011,4,0,Wednesday,1,Clear/Partly Cloudy,24.395,28.2196,61.4167,16.208975,613,3331,3944,0.595,0.564392,0.614167,0.241925
111,21/04/11,Summer,2011,4,0,Thursday,1,Clear/Partly Cloudy,18.825847,22.6946,40.7083,21.792286,745,3444,4189,0.459167,0.453892,0.407083,0.325258
112,22/04/11,Summer,2011,4,0,Friday,1,Mist/Cloudy,13.803347,16.0977,72.9583,14.707907,177,1506,1683,0.336667,0.321954,0.729583,0.219521
113,23/04/11,Summer,2011,4,0,Saturday,0,Mist/Cloudy,18.86,22.50605,88.7917,15.458575,1462,2574,4036,0.46,0.450121,0.887917,0.230725
114,24/04/11,Summer,2011,4,0,Sunday,0,Mist/Cloudy,23.848347,27.58815,81.0833,12.875725,1710,2481,4191,0.581667,0.551763,0.810833,0.192175
115,25/04/11,Summer,2011,4,0,Monday,1,Clear/Partly Cloudy,24.873347,28.725,77.6667,12.417311,773,3300,4073,0.606667,0.5745,0.776667,0.185333
116,26/04/11,Summer,2011,4,0,Tuesday,1,Clear/Partly Cloudy,25.898347,29.70415,72.9167,21.8755,678,3722,4400,0.631667,0.594083,0.729167,0.3265
117,27/04/11,Summer,2011,4,0,Wednesday,1,Mist/Cloudy,25.42,28.7571,83.5417,20.9174,547,3325,3872,0.62,0.575142,0.835417,0.3122
118,28/04/11,Summer,2011,4,0,Thursday,1,Mist/Cloudy,25.3175,28.94645,70.0833,21.500836,569,3489,4058,0.6175,0.578929,0.700833,0.320908
119,29/04/11,Summer,2011,4,0,Friday,1,Clear/Partly Cloudy,20.91,24.87315,45.7083,16.084221,878,3717,4595,0.51,0.497463,0.457083,0.240063
120,30/04/11,Summer,2011,4,0,Saturday,0,Clear/Partly Cloudy,19.3725,23.20105,50.3333,15.750025,1965,3347,5312,0.4725,0.464021,0.503333,0.235075
121,01/05/11,Summer,2011,5,0,Sunday,0,Mist/Cloudy,18.518347,22.4102,76.2083,7.125718,1138,2213,3351,0.451667,0.448204,0.762083,0.106354
122,02/05/11,Summer,2011,5,0,Monday,1,Mist/Cloudy,22.515847,26.64165,73,12.291418,847,3554,4401,0.549167,0.532833,0.73,0.183454
123,03/05/11,Summer,2011,5,0,Tuesday,1,Mist/Cloudy,25.283347,29.10395,69.7083,22.958689,603,3848,4451,0.616667,0.582079,0.697083,0.342667
124,04/05/11,Summer,2011,5,0,Wednesday,1,Mist/Cloudy,16.980847,20.2325,73.7083,22.042732,255,2378,2633,0.414167,0.40465,0.737083,0.328996
125,05/05/11,Summer,2011,5,0,Thursday,1,Clear/Partly Cloudy,18.825847,22.09585,44.4167,19.791264,614,3819,4433,0.459167,0.441917,0.444167,0.295392
126,06/05/11,Summer,2011,5,0,Friday,1,Clear/Partly Cloudy,19.645847,23.70585,59,15.292482,894,3714,4608,0.479167,0.474117,0.59,0.228246
127,07/05/11,Summer,2011,5,0,Saturday,0,Clear/Partly Cloudy,21.32,25.63105,54.125,10.75015,1612,3102,4714,0.52,0.512621,0.54125,0.16045
128,08/05/11,Summer,2011,5,0,Sunday,0,Clear/Partly Cloudy,21.661653,25.94665,63.1667,5.0007125,1401,2932,4333,0.528333,0.518933,0.631667,0.0746375
129,09/05/11,Summer,2011,5,0,Monday,1,Clear/Partly Cloudy,21.8325,26.2623,58.875,11.792,664,3698,4362,0.5325,0.525246,0.58875,0.176
130,10/05/11,Summer,2011,5,0,Tuesday,1,Clear/Partly Cloudy,21.8325,26.13605,48.9167,7.749957,694,4109,4803,0.5325,0.522721,0.489167,0.115671
131,11/05/11,Summer,2011,5,0,Wednesday,1,Clear/Partly Cloudy,22.2425,26.42,63.2917,8.083014,550,3632,4182,0.5425,0.5284,0.632917,0.120642
132,12/05/11,Summer,2011,5,0,Thursday,1,Clear/Partly Cloudy,21.935,26.16815,74.75,12.707689,695,4169,4864,0.535,0.523363,0.7475,0.189667
133,13/05/11,Summer,2011,5,0,Friday,1,Mist/Cloudy,21.0125,24.715,86.3333,12.041575,692,3413,4105,0.5125,0.4943,0.863333,0.179725
134,14/05/11,Summer,2011,5,0,Saturday,0,Mist/Cloudy,21.354153,25.03145,92.25,9.04165,902,2507,3409,0.520833,0.500629,0.9225,0.13495
135,15/05/11,Summer,2011,5,0,Sunday,0,Mist/Cloudy,23.0625,26.8,86.7083,10.249593,1582,2971,4553,0.5625,0.536,0.867083,0.152979
136,16/05/11,Summer,2011,5,0,Monday,1,Clear/Partly Cloudy,23.6775,27.5256,78.7917,8.500357,773,3185,3958,0.5775,0.550512,0.787917,0.126871
137,17/05/11,Summer,2011,5,0,Tuesday,1,Mist/Cloudy,23.028347,26.92645,83.7917,18.582718,678,3445,4123,0.561667,0.538529,0.837917,0.277354
138,18/05/11,Summer,2011,5,0,Wednesday,1,Mist/Cloudy,22.55,26.3579,87,13.499964,536,3319,3855,0.55,0.527158,0.87,0.201492
139,19/05/11,Summer,2011,5,0,Thursday,1,Mist/Cloudy,21.764153,25.5371,82.9583,7.250271,735,3840,4575,0.530833,0.510742,0.829583,0.108213
140,20/05/11,Summer,2011,5,0,Friday,1,Clear/Partly Cloudy,22.003347,26.4521,71.9583,8.375871,909,4008,4917,0.536667,0.529042,0.719583,0.125013
141,21/05/11,Summer,2011,5,0,Saturday,0,Clear/Partly Cloudy,24.7025,28.59875,62.6667,8.08355,2258,3547,5805,0.6025,0.571975,0.626667,0.12065
142,22/05/11,Summer,2011,5,0,Sunday,0,Clear/Partly Cloudy,24.770847,28.725,74.9583,9.916536,1576,3084,4660,0.604167,0.5745,0.749583,0.148008
143,23/05/11,Summer,2011,5,0,Monday,1,Mist/Cloudy,25.898347,29.5148,81,15.667414,836,3438,4274,0.631667,0.590296,0.81,0.233842
144,24/05/11,Summer,2011,5,0,Tuesday,1,Mist/Cloudy,27.06,30.24065,74.0833,13.875164,659,3833,4492,0.66,0.604813,0.740833,0.207092
145,25/05/11,Summer,2011,5,0,Wednesday,1,Clear/Partly Cloudy,27.094153,30.7771,69.625,10.333611,740,4238,4978,0.660833,0.615542,0.69625,0.154233
146,26/05/11,Summer,2011,5,0,Thursday,1,Clear/Partly Cloudy,29.041653,32.7344,67.75,13.376014,758,3919,4677,0.708333,0.654688,0.6775,0.199642
147,27/05/11,Summer,2011,5,0,Friday,1,Clear/Partly Cloudy,27.948347,31.8504,65.375,16.125493,871,3808,4679,0.681667,0.637008,0.65375,0.240679
148,28/05/11,Summer,2011,5,0,Saturday,0,Clear/Partly Cloudy,26.889153,30.61895,72.9583,15.416164,2001,2757,4758,0.655833,0.612379,0.729583,0.230092
149,29/05/11,Summer,2011,5,0,Sunday,0,Clear/Partly Cloudy,27.3675,30.7775,81.875,14.333846,2355,2433,4788,0.6675,0.61555,0.81875,0.213938
150,30/05/11,Summer,2011,5,1,Monday,0,Clear/Partly Cloudy,30.066653,33.5546,68.5,8.792075,1549,2549,4098,0.733333,0.671092,0.685,0.131225
151,31/05/11,Summer,2011,5,0,Tuesday,1,Clear/Partly Cloudy,31.775,36.26915,63.6667,7.459043,673,3309,3982,0.775,0.725383,0.636667,0.111329
152,01/06/11,Summer,2011,6,0,Wednesday,1,Mist/Cloudy,31.330847,36.04835,67.7083,13.875164,513,3461,3974,0.764167,0.720967,0.677083,0.207092
153,02/06/11,Summer,2011,6,0,Thursday,1,Clear/Partly Cloudy,29.315,32.1971,30.5,19.583229,736,4232,4968,0.715,0.643942,0.305,0.292287
154,03/06/11,Summer,2011,6,0,Friday,1,Clear/Partly Cloudy,25.42,29.35665,35.4167,16.959107,898,4414,5312,0.62,0.587133,0.354167,0.253121
155,04/06/11,Summer,2011,6,0,Saturday,0,Clear/Partly Cloudy,26.035,29.7348,45.625,8.250514,1869,3473,5342,0.635,0.594696,0.45625,0.123142
156,05/06/11,Summer,2011,6,0,Sunday,0,Mist/Cloudy,26.581653,30.8402,65.25,9.292364,1685,3221,4906,0.648333,0.616804,0.6525,0.138692
157,06/06/11,Summer,2011,6,0,Monday,1,Clear/Partly Cloudy,27.811653,31.0929,60,8.167032,673,3875,4548,0.678333,0.621858,0.6,0.121896
158,07/06/11,Summer,2011,6,0,Tuesday,1,Clear/Partly Cloudy,29.0075,32.7975,59.7917,12.583136,763,4070,4833,0.7075,0.65595,0.597917,0.187808
159,08/06/11,Summer,2011,6,0,Wednesday,1,Clear/Partly Cloudy,31.809153,36.36395,62.2083,9.166739,676,3725,4401,0.775833,0.727279,0.622083,0.136817
160,09/06/11,Summer,2011,6,0,Thursday,1,Mist/Cloudy,33.141653,37.87895,56.8333,10.042161,563,3352,3915,0.808333,0.757579,0.568333,0.149883
161,10/06/11,Summer,2011,6,0,Friday,1,Clear/Partly Cloudy,30.955,35.1646,60.5,9.417118,815,3771,4586,0.755,0.703292,0.605,0.140554
162,11/06/11,Summer,2011,6,0,Saturday,0,Clear/Partly Cloudy,29.725,33.9019,65.4583,10.37495,1729,3237,4966,0.725,0.678038,0.654583,0.15485
